code,name,theme,source,freq,lastupdate,status
ABPO12_PAPEL12,"Papelão ondulado - expedição de caixas, acessórios e chapas - quantidade",Macroeconomic,ABPO,Monthly,2025-07-11,Active
ANP_CGASN,Consumo aparente - gás natural - quantidade,Macroeconomic,ANP,Yearly,2023-07-24,Active
ANP_CGASOL,Consumo aparente - gasolina - quantidade,Macroeconomic,ANP,Yearly,2023-07-24,Active
ANP_COLDIE,Consumo aparente - óleo diesel - quantidade,Macroeconomic,ANP,Yearly,2024-10-04,Active
ANP_CPET,Consumo aparente - petróleo - quantidade,Macroeconomic,ANP,Yearly,2024-10-04,Active
ANP_MPET,Importações - petróleo - quantidade,Macroeconomic,ANP,Yearly,2024-10-07,Active
ANP_PDALCO,Produção - álcool - quantidade,Macroeconomic,ANP,Yearly,2024-10-07,Active
ANP_PDPET,Produção - petróleo - quantidade,Macroeconomic,ANP,Yearly,2024-10-07,Active
ANP_PGASOL,Produção - gasolina - quantidade,Macroeconomic,ANP,Yearly,2024-10-07,Active
ANP_PRALCO,Preço médio - álcool - metro cúbico,Macroeconomic,ANP,Yearly,2025-02-25,Active
ANP_PRGASOL,Preço médio - gasolina - metro cúbico,Macroeconomic,ANP,Yearly,2025-02-25,Active
ANP_PRGLP,Preço médio - gás GLP - tonelada,Macroeconomic,ANP,Yearly,2025-02-25,Active
ANP_PROLDIE,Preço médio - óleo diesel - metro cúbico,Macroeconomic,ANP,Yearly,2025-02-25,Active
ANP_XPET,Exportações - petróleo - quantidade,Macroeconomic,ANP,Yearly,2024-10-07,Active
ANP12_CALCO12,Consumo aparente - álcool carburante - média - quantidade/dia,Macroeconomic,ANP,Monthly,2025-06-16,Active
ANP12_CDEPET12,Consumo aparente - derivados de petróleo - média - quantidade/dia,Macroeconomic,ANP,Monthly,2025-06-16,Active
ANP12_CGASOL12,Consumo aparente - gasolina - média - quantidade/dia,Macroeconomic,ANP,Monthly,2025-06-16,Active
ANP12_COLDIE12,Consumo aparente - óleo diesel - média - quantidade/dia,Macroeconomic,ANP,Monthly,2025-06-16,Active
ANP12_PDGASN12,Produção - gás natural - média - quantidade,Macroeconomic,ANP,Monthly,2025-06-16,Active
ANP12_PDPET12,Produção - petróleo - média - quantidade/dia,Macroeconomic,ANP,Monthly,2025-06-16,Active
AETT_FERRCARG,Transporte ferroviário - cargas transportadas - qde. - INATIVA,Macroeconomic,ANTT/AETT,Yearly,2022-08-04,Inactive
AETT_RODAUTOMOV,Transporte rodoviário - frota nacional de automóveis - qde.,Macroeconomic,ANTT/AETT,Yearly,2025-07-08,Active
AETT_RODCAMINH,Transporte rodoviário - frota nacional de caminhões - qde.,Macroeconomic,ANTT/AETT,Yearly,2025-07-08,Active
AETT_RODONIBUS,Transporte rodoviário - frota nacional de ônibus - qde.,Macroeconomic,ANTT/AETT,Yearly,2025-07-08,Active
AETT_RODVEICAUT,Transporte rodoviário - frota nacional de veículos automotores - qde.,Macroeconomic,ANTT/AETT,Yearly,2025-07-08,Active
ABRAS12_INVNR12,Consumo nos lares - variação real,Macroeconomic,Abras,Monthly,2025-06-04,Active
ANBIMA366_TJTLN12366,Taxa de juros prefixada - estrutura a termo - LTN - 12 meses,Macroeconomic,Anbima,Daily,2025-07-15,Active
ANBIMA366_TJTLN1366,Taxa de juros prefixada - estrutura a termo - LTN - 1 mês,Macroeconomic,Anbima,Daily,2025-07-15,Active
ANBIMA366_TJTLN3366,Taxa de juros prefixada - estrutura a termo - LTN - 3 meses,Macroeconomic,Anbima,Daily,2025-07-15,Inactive
ANBIMA366_TJTLN6366,Taxa de juros prefixada - estrutura a termo - LTN - 6 meses,Macroeconomic,Anbima,Daily,2025-07-15,Inactive
ANBIMA12_IBVSP12,Índice de ações - Ibovespa - fechamento,Macroeconomic,Anbima,Monthly,2025-07-01,Active
ANBIMA12_TJPOUP12,Poupança - rentabilidade - depósitos até 03.05.2012  (1º dia do mês),Macroeconomic,Anbima,Monthly,2025-07-02,Active
ANBIMA12_TJTLN112,Taxa de juros pré fixada - estrutura a termo - LTN - 1 mês,Macroeconomic,Anbima,Monthly,2025-07-01,Active
ANBIMA12_TJTLN1212,Taxa de juros pré fixada - estrutura a termo - LTN - 12 meses,Macroeconomic,Anbima,Monthly,2025-07-01,Active
ANBIMA12_TJTLN312,Taxa de juros pré fixada - estrutura a termo - LTN - 3 meses,Macroeconomic,Anbima,Monthly,2025-07-01,Active
ANBIMA12_TJTLN612,Taxa de juros pré fixada - estrutura a termo - LTN - 6 meses,Macroeconomic,Anbima,Monthly,2025-07-01,Active
ANDA_MFERTILIZ,Importações - fertilizantes - quantidade,Macroeconomic,Anda,Yearly,2025-03-12,Active
ANDA_PFERTILIZ,Produção- fertilizantes - quantidade,Macroeconomic,Anda,Yearly,2025-03-12,Active
ANDA_VFERTILIZ,Venda - fertilizantes - quantidade,Macroeconomic,Anda,Yearly,2025-03-12,Active
ANDA12_MFERTILIZ12,Importações - fertilizantes - quantidade,Macroeconomic,Anda,Monthly,2025-07-03,Active
ANDA12_NPKFERTILIZ12,Exportações - fertilizantes e fórmulas NPK - quantidade,Macroeconomic,Anda,Monthly,2025-07-03,Active
ANDA12_PFERTILIZ12,Produção- fertilizantes - quantidade,Macroeconomic,Anda,Monthly,2025-07-03,Active
ANDA12_VFERTILIZ12,Venda - fertilizantes - quantidade,Macroeconomic,Anda,Monthly,2025-07-03,Active
ANFAVE_QVEICL,Produção - autoveículos - automóveis -  montados - quantidade,Macroeconomic,Anfavea,Yearly,2025-07-08,Active
ANFAVE12_LICVEN12,Vendas de autoveículos no mercado interno,Macroeconomic,Anfavea,Monthly,2025-07-08,Active
ANFAVE12_LICVETOT12,Licenciamento total - Autoveículos - montados - qde.,Macroeconomic,Anfavea,Monthly,2025-07-08,Inactive
ANFAVE12_QCAMINM12,Produção - caminhões - montados - qde.,Macroeconomic,Anfavea,Monthly,2025-07-08,Active
ANFAVE12_QPASSAM12,Produção - automóveis - montados - qde.,Macroeconomic,Anfavea,Monthly,2025-07-08,Active
ANFAVE12_QVETOTM12,Produção - autoveículos - montados - qde.,Macroeconomic,Anfavea,Monthly,2025-07-08,Active
ANFAVE12_XPASSAM12,Exportações - automóveis - montados - qde.,Macroeconomic,Anfavea,Monthly,2025-07-08,Active
ANFAVE12_XVETOTM12,Exportações - autoveículos - montados - qde.,Macroeconomic,Anfavea,Monthly,2025-07-08,Inactive
ANTAQ_CARG,Transporte aquaviário - cargas movimentadas - qde.,Macroeconomic,Antaq/AEP,Yearly,2025-04-17,Active
ANTAQ_CARGCABOT,Transporte aquaviário - cargas movimentadas - navegação de cabotagem - qde.,Macroeconomic,Antaq/AEP,Yearly,2025-04-17,Active
ANTAQ_CARGSOLID,Transporte aquaviário - cargas movimentadas - por natureza - granel sólido - qde. - INATIVA ,Macroeconomic,Antaq/AEP,Yearly,2022-05-30,Inactive
BLS12_IPAEUA12,preços - IPP (bens acabados) - índice dessazonalizado (média 1982 = 100),Macroeconomic,BLS,Monthly,2025-07-08,Inactive
BLS12_IPCEUA12,preços - IPC - índice dessazonalizado (média 1982-84 = 100),Macroeconomic,BLS,Monthly,2025-07-08,Inactive
BLS12_IPCEUAS12,preços - IPC - índice (média 1982-84 = 100),Macroeconomic,BLS,Monthly,2025-07-08,Inactive
BMF366_FUT1DI1366,Taxa de juros - DI de 1 dia - futuro: vencimento em t+1,Macroeconomic,BM&FBovespa,Daily,2025-07-15,Active
BMF366_FUT1DOL366,Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+1,Macroeconomic,BM&FBovespa,Daily,2025-07-15,Active
BMF366_FUT3DOL366,Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+3 - INATIVA,Macroeconomic,BM&FBovespa,Daily,2025-07-15,Inactive
BMF366_FUT6DI1366,Taxa de juros - DI de 1 dia - futuro: vencimento em t+6,Macroeconomic,BM&FBovespa,Daily,2025-07-15,Inactive
BMF366_FUT6DOL366,Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+6 - INATIVA,Macroeconomic,BM&FBovespa,Daily,2024-06-18,Inactive
GM366_IBVSP366,Índice de ações - Ibovespa - fechamento,Macroeconomic,BM&FBovespa,Daily,2025-07-15,Active
BMF12_SWAPDI180F12,Taxa referencial - swaps - DI x pré-fixada - 180 dias - fim de período,Macroeconomic,BM&FBovespa,Monthly,2025-07-01,Active
BMF12_SWAPDI36012,Taxa referencial - swaps - DI x pré-fixada - 360 dias - média do período,Macroeconomic,BM&FBovespa,Monthly,2025-07-01,Inactive
BMF12_SWAPDI360F12,Taxa referencial - swaps - DI x pré-fixada - 360 dias - fim de período,Macroeconomic,BM&FBovespa,Monthly,2025-07-01,Active
SGS12_PIBCAPBR,PIB per capita em R$ correntes (SGS-BCB),Macroeconomic,Bacen Outras/SGS,Yearly,2024-11-22,Active
SGS12_PIBCAPUS,PIB per capita em US$ correntes (SGS-BCB),Macroeconomic,Bacen Outras/SGS,Yearly,2024-11-22,Active
GM366_ERC366,Taxa de câmbio - R$ / US$ - comercial - compra - média,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
GM366_EREURO366,Zona do Euro - taxa de câmbio - euro / US$ - média,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
GM366_ERV366,Taxa de câmbio - R$ / US$ - comercial - venda - média,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
GM366_EUROC366,Zona do Euro - taxa de câmbio - R$ / euro - compra - média,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
GM366_EUROV366,Zona do Euro - taxa de câmbio - R$ / euro - venda - média,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
GM366_TJOVER366,Taxa de juros - Over / Selic,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
GM366_TJTR366,Taxa de juros - TR,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
SGS366_CDI366,Taxa de juros - CDI,Macroeconomic,Bacen Outras/SGS,Daily,2025-07-15,Active
BM12_PIBAC12,PIB - acumulado em 12 meses,Macroeconomic,Bacen Outras/SGS,Monthly,2025-07-11,Active
SGS12_7836,Poupança - depósito - SBPE e rural - saldo,Macroeconomic,Bacen Outras/SGS,Monthly,2025-07-01,Active
SGS12_IBCBR12,IBC-Br - índice real (2022=100),Macroeconomic,Bacen Outras/SGS,Monthly,2025-07-14,Active
SGS12_IBCBRDESSAZ12,IBC-Br - índice real dessazonalizado (2022=100),Macroeconomic,Bacen Outras/SGS,Monthly,2025-07-14,Active
BPN_SBC,Balança comercial - (FOB) - saldo (Antiga metod. - BPM5) - INATIVA,Macroeconomic,Bacen/BP (BPM5),Yearly,2015-01-23,Inactive
BPAG_AR,Balanço de pagamentos - ativos de reserva,Macroeconomic,Bacen/BP (BPM6),Yearly,2025-01-27,Active
BPAG_BC,Balanço de pagamentos - balança comercial - saldo,Macroeconomic,Bacen/BP (BPM6),Yearly,2025-03-26,Active
BPAG_BCM,Balanço de pagamentos - balança comercial - importações,Macroeconomic,Bacen/BP (BPM6),Yearly,2025-03-26,Active
BPAG_BCX,Balanço de pagamentos - balança comercial - exportações,Macroeconomic,Bacen/BP (BPM6),Yearly,2025-02-27,Active
BPAG_CF,Balanço de pagamentos - conta Financeira - saldo (Captações - Concessões),Macroeconomic,Bacen/BP (BPM6),Yearly,2025-03-26,Active
BPAG_CK,Balanço de pagamentos - conta capital - saldo,Macroeconomic,Bacen/BP (BPM6),Yearly,2025-01-27,Active
BPAG_TC,Balanço de pagamentos - transações correntes - saldo,Macroeconomic,Bacen/BP (BPM6),Yearly,2025-03-26,Active
BPAG12_AR12,Balanço de pagamentos - ativos de reserva,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_BC12,Balanço de pagamentos - balança comercial - saldo,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_BCM12,Balanço de pagamentos - balança comercial - importações,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_BCX12,Balanço de pagamentos - balança comercial - exportações,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_CF12,Balanço de pagamentos - conta Financeira - saldo (captações - concessões),Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_CK12,Balanço de pagamentos - conta capital - saldo,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_CKD12,Balanço de pagamentos - conta capital - despesa,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-04-15,Inactive
BPAG12_CKR12,Balanço de pagamentos - conta capital - receita,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-04-15,Inactive
BPAG12_ICAAA12,Balanço de pagamentos - investimento carteira - ativos - investimento ações - aquisição,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_IDE12,Balanço de pagamentos - investimento direto exterior - saldo,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Inactive
BPAG12_IDP12,Balanço de pagamentos - investimento direto país - saldo,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_IDPI12,Balanço de pagamentos - investimento direto país - ingressos,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_RP12,Balanço de pagamentos - renda primária - saldo,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_SER12,Balanço de pagamentos - serviços - saldo,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_SERD12,Balanço de pagamentos - serviços - despesa,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-04-15,Inactive
BPAG12_TC12,Balanço de pagamentos - transações correntes - saldo,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-06-25,Active
BPAG12_TCPIB12,Balanço de pagamentos - transações correntes,Macroeconomic,Bacen/BP (BPM6),Monthly,2025-04-29,Active
BM12_IPCA2012,IPCA - núcleo médias aparadas com suavização - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCA20N12,IPCA -  núcleo médias aparadas sem suavização - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCACOM12,IPCA - preços livres - comercializáveis - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCAEXC12,IPCA - núcleo por exclusão - sem monitorados e alimentos no domicílio - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCAEXCEX212,IPCA - núcleo por exclusão - EX1 - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCAEXP1212,Expectativa média de Inflação - IPCA - taxa acumulada para os próximos doze meses,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-08,Active
BM12_IPCAEXP612,Expectativa média de Inflação - IPCA - taxa anualizada para os próximos seis meses,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-08,Active
BM12_IPCANCOM12,IPCA - preços livres - não comercializáveis - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCAPL12,IPCA - preços livres - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCAPLBD12,IPCA - preços livres - bens duráveis - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCAPLBND12,IPCA - preços livres - bens não duráveis - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Inactive
BM12_IPCAPLBSD12,IPCA - preços livres - bens semi duráveis - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Inactive
BM12_IPCAPLSER12,IPCA - preços livres - serviços - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_IPCAPM12,IPCA - preços monitorados - taxa de variação,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_NUCLEOPIPCA12,Núcleo de dupla ponderação - IPCA,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-10,Active
BM12_PIB12,PIB,Macroeconomic,Bacen/Boletim/Ativ. Ec.,Monthly,2025-07-11,Active
BM_DEXTEI,Dívida externa bruta - total (inclui empréstimos intercompanhias),Macroeconomic,Bacen/Boletim/BP,Yearly,2025-07-10,Active
BM_DEXUS,Dívida externa bruta -  distribuição de moeda - dólar americano,Macroeconomic,Bacen/Boletim/BP,Yearly,2025-07-10,Active
BM_ERC,Taxa de câmbio - R$ / US$ - comercial - compra - média,Macroeconomic,Bacen/Boletim/BP,Yearly,2025-01-13,Active
